field_key,namespace,asset_variant,applicability,null_semantics,cardinality,vocabulary_version,production_method,owner,precision_gate,recall_gate,release_version,rollback_release,signoff_state,evidence_hash
space,semantic,whole,required,not_detected_or_needs_review,single,unconfirmed,hybrid,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
space,semantic,single,not_applicable,not_applicable,single,unconfirmed,hybrid,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
object,semantic,whole,required,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
object,semantic,single,required,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
style,semantic,whole|single,required,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
material,semantic,whole|single,optional,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
structural_features,semantic,whole|single,optional,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
architectural_element,semantic,whole|single,optional,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
soft_decoration,semantic,whole|single,optional,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
hard_decoration,semantic,whole|single,optional,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
color,semantic,whole|single,optional,not_detected_or_needs_review,multi,unconfirmed,model,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
title,semantic,whole|single,optional,not_detected_or_needs_review,single,unconfirmed,source_direct_normalized,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
category.model_3d_su.asset_variant,category.model_3d_su,whole|single,required,needs_review,single,3d-su-v1,rule,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
category.model_3d_su.evaluation_track,category.model_3d_su,whole|single,required,needs_review,single,3d-su-v1,hybrid,UNASSIGNED,0.80,0.70,UNASSIGNED,UNASSIGNED,pending,
